,event_id,event_name,time_date,location,timezone,visiting_team,home_team
295,9160169,Boston Red Sox at Toronto Blue Jays ,2015-05-10 17:07:00,Rogers Centre,EST,Boston Red Sox,Toronto Blue Jays 
296,9160171,Boston Red Sox at Toronto Blue Jays ,2015-06-30 23:07:00,Rogers Centre,EST,Boston Red Sox,Toronto Blue Jays 
297,9160172,Boston Red Sox at Toronto Blue Jays ,2015-07-01 17:07:00,Rogers Centre,EST,Boston Red Sox,Toronto Blue Jays 
298,9160173,Boston Red Sox at Toronto Blue Jays ,2015-07-02 23:07:00,Rogers Centre,EST,Boston Red Sox,Toronto Blue Jays 
299,9160174,Boston Red Sox at Toronto Blue Jays ,2015-09-18 23:07:00,Rogers Centre,EST,Boston Red Sox,Toronto Blue Jays 
300,9160175,Boston Red Sox at Toronto Blue Jays ,2015-09-19 17:07:00,Rogers Centre,EST,Boston Red Sox,Toronto Blue Jays 
301,9160176,Boston Red Sox at Toronto Blue Jays ,2015-09-20 17:07:00,Rogers Centre,EST,Boston Red Sox,Toronto Blue Jays 
302,9160170,Boston Red Sox at Toronto Blue Jays ,2015-06-29 23:07:00,Rogers Centre,EST,Boston Red Sox,Toronto Blue Jays 
303,9160928,Boston Red Sox at Tampa Bay Rays ,2015-04-23 23:10:00,Tropicana Field,EST,Boston Red Sox,Tampa Bay Rays 
304,9167859,Boston Red Sox at Kansas City Royals ,2015-06-21 18:10:00,Kauffman Stadium,CST,Boston Red Sox,Kansas City Royals 
305,9159417,Boston Red Sox at New York Mets ,2015-08-29 20:05:00,Citi Field,EST,Boston Red Sox,New York Mets 
306,9159415,Boston Red Sox at New York Mets ,2015-08-28 23:10:00,Citi Field,EST,Boston Red Sox,New York Mets 
307,9159420,Boston Red Sox at New York Mets ,2015-08-30 17:10:00,Citi Field,EST,Boston Red Sox,New York Mets 
308,9150331,Boston Red Sox at New York Yankees ,2015-08-05 23:05:00,Yankee Stadium,EST,Boston Red Sox,New York Yankees 
309,9150330,Boston Red Sox at New York Yankees ,2015-08-04 23:05:00,Yankee Stadium,EST,Boston Red Sox,New York Yankees 
310,9150336,Boston Red Sox at New York Yankees ,2015-10-01 23:05:00,Yankee Stadium,EST,Boston Red Sox,New York Yankees 
311,9150334,Boston Red Sox at New York Yankees ,2015-09-29 23:05:00,Yankee Stadium,EST,Boston Red Sox,New York Yankees 
312,9150335,Boston Red Sox at New York Yankees ,2015-09-30 23:05:00,Yankee Stadium,EST,Boston Red Sox,New York Yankees 
313,9150628,Boston Red Sox at Los Angeles Angels ,2015-07-18 02:05:00,Angel Stadium,PST,Boston Red Sox,Los Angeles Angels 
314,9150333,Boston Red Sox at New York Yankees ,2015-09-28 23:05:00,Yankee Stadium,EST,Boston Red Sox,New York Yankees 
315,9150329,Boston Red Sox at New York Yankees ,2015-04-13 00:05:00,Yankee Stadium,EST,Boston Red Sox,New York Yankees 
316,9160168,Boston Red Sox at Toronto Blue Jays ,2015-05-09 17:07:00,Rogers Centre,EST,Boston Red Sox,Toronto Blue Jays 
317,9150631,Boston Red Sox at Los Angeles Angels ,2015-07-21 02:05:00,Angel Stadium,PST,Boston Red Sox,Los Angeles Angels 
318,9167858,Boston Red Sox at Kansas City Royals ,2015-06-20 23:15:00,Kauffman Stadium,CST,Boston Red Sox,Kansas City Royals 
319,9167857,Boston Red Sox at Kansas City Royals ,2015-06-20 00:10:00,Kauffman Stadium,CST,Boston Red Sox,Kansas City Royals 
320,9150328,Boston Red Sox at New York Yankees ,2015-04-11 17:05:00,Yankee Stadium,EST,Boston Red Sox,New York Yankees 
321,9150629,Boston Red Sox at Los Angeles Angels ,2015-07-19 01:05:00,Angel Stadium,PST,Boston Red Sox,Los Angeles Angels 
322,9150630,Boston Red Sox at Los Angeles Angels ,2015-07-20 00:05:00,Angel Stadium,PST,Boston Red Sox,Los Angeles Angels 
323,9150327,Boston Red Sox at New York Yankees ,2015-04-10 23:05:00,Yankee Stadium,EST,Boston Red Sox,New York Yankees 
324,9158531,New York Yankees at Houston Astros ,2015-06-26 00:10:00,Minute Maid Park,CST,New York Yankees,Houston Astros 
325,9158533,New York Yankees at Houston Astros ,2015-06-27 20:10:00,Minute Maid Park,CST,New York Yankees,Houston Astros 
326,9158532,New York Yankees at Houston Astros ,2015-06-27 00:10:00,Minute Maid Park,CST,New York Yankees,Houston Astros 
327,9172122,New York Yankees at Minnesota Twins ,2015-07-25 23:10:00,Target Field,CST,New York Yankees,Minnesota Twins 
328,9172119,New York Yankees at Minnesota Twins ,2015-07-25 00:10:00,Target Field,CST,New York Yankees,Minnesota Twins 
333,9164895,New York Yankees at Cleveland Indians ,2015-08-13 23:05:00,Progressive Field,EST,New York Yankees,Cleveland Indians 
334,9158534,New York Yankees at Houston Astros ,2015-06-28 18:10:00,Minute Maid Park,CST,New York Yankees,Houston Astros 
335,9150280,Seattle Mariners at New York Yankees ,2015-07-17 23:05:00,Yankee Stadium,EST,Seattle Mariners,New York Yankees 
336,9164923,New York Yankees at Detroit Tigers ,2015-04-20 23:08:00,Comerica Park,EST,New York Yankees,Detroit Tigers 
337,9162301,New York Yankees at Miami Marlins ,2015-06-16 23:10:00,Marlins Park,EST,New York Yankees,Miami Marlins 
340,9168949,New York Yankees at Washington Nationals ,2015-05-20 23:05:00,Nationals Park,EST,New York Yankees,Washington Nationals 
341,9172120,New York Yankees at Minnesota Twins ,2015-07-26 18:10:00,Target Field,CST,New York Yankees,Minnesota Twins 
342,9150296,Washington Nationals at New York Yankees ,2015-06-10 17:05:00,Yankee Stadium,EST,Washington Nationals,New York Yankees 
344,9164894,New York Yankees at Cleveland Indians ,2015-08-12 23:05:00,Progressive Field,EST,New York Yankees,Cleveland Indians 
345,9150283,Seattle Mariners at New York Yankees ,2015-07-19 17:05:00,Yankee Stadium,EST,Seattle Mariners,New York Yankees 
346,9150252,Oakland Athletics at New York Yankees ,2015-07-09 17:05:00,Yankee Stadium,EST,Oakland Athletics,New York Yankees 
347,9150269,Cleveland Indians at New York Yankees ,2015-08-20 23:05:00,Yankee Stadium,EST,Cleveland Indians,New York Yankees 
348,9150244,Oakland Athletics at New York Yankees ,2015-07-07 23:05:00,Yankee Stadium,EST,Oakland Athletics,New York Yankees 
349,9150242,Houston Astros at New York Yankees ,2015-08-25 23:05:00,Yankee Stadium,EST,Houston Astros,New York Yankees 
350,9150343,Detroit Tigers at New York Yankees ,2015-06-21 23:05:00,Yankee Stadium,EST,Detroit Tigers,New York Yankees 
351,9150310,Philadelphia Phillies at New York Yankees ,2015-06-22 23:05:00,Yankee Stadium,EST,Philadelphia Phillies,New York Yankees 
352,9150313,Texas Rangers at New York Yankees ,2015-05-22 23:05:00,Yankee Stadium,EST,Texas Rangers,New York Yankees 
356,9150346,Minnesota Twins at New York Yankees ,2015-08-18 23:05:00,Yankee Stadium,EST,Minnesota Twins,New York Yankees 
357,9150314,Texas Rangers at New York Yankees ,2015-05-23 17:05:00,Yankee Stadium,EST,Texas Rangers,New York Yankees 
359,9164925,New York Yankees at Detroit Tigers ,2015-04-22 23:08:00,Comerica Park,EST,New York Yankees,Detroit Tigers 
360,9164926,New York Yankees at Detroit Tigers ,2015-04-23 17:08:00,Comerica Park,EST,New York Yankees,Detroit Tigers 
361,9158642,New York Yankees at Texas Rangers ,2015-07-30 00:05:00,Globe Life Park,CST,New York Yankees,Texas Rangers 
362,9150340,Detroit Tigers at New York Yankees ,2015-06-19 23:05:00,Yankee Stadium,EST,Detroit Tigers,New York Yankees 
363,9164924,New York Yankees at Detroit Tigers ,2015-04-21 23:08:00,Comerica Park,EST,New York Yankees,Detroit Tigers 
365,9168948,New York Yankees at Washington Nationals ,2015-05-19 23:05:00,Nationals Park,EST,New York Yankees,Washington Nationals 
366,9158640,New York Yankees at Texas Rangers ,2015-07-28 00:05:00,Globe Life Park,CST,New York Yankees,Texas Rangers 
370,9150344,Minnesota Twins at New York Yankees ,2015-08-17 23:05:00,Yankee Stadium,EST,Minnesota Twins,New York Yankees 
372,9162300,New York Yankees at Miami Marlins ,2015-06-15 23:10:00,Marlins Park,EST,New York Yankees,Miami Marlins 
373,9158036,New York Yankees at Oakland Athletics ,2015-05-29 02:05:00,O.co Coliseum,PST,New York Yankees,Oakland Athletics 
374,9158039,New York Yankees at Oakland Athletics ,2015-05-31 20:05:00,O.co Coliseum,PST,New York Yankees,Oakland Athletics 
375,9158037,New York Yankees at Oakland Athletics ,2015-05-30 02:05:00,O.co Coliseum,PST,New York Yankees,Oakland Athletics 
376,9158408,New York Yankees at Seattle Mariners ,2015-06-02 02:10:00,Safeco Field,PST,New York Yankees,Seattle Mariners 
377,9158409,New York Yankees at Seattle Mariners ,2015-06-03 02:10:00,Safeco Field,PST,New York Yankees,Seattle Mariners 
378,9158410,New York Yankees at Seattle Mariners ,2015-06-03 19:40:00,Safeco Field,PST,New York Yankees,Seattle Mariners 
379,9158038,New York Yankees at Oakland Athletics ,2015-05-31 02:05:00,O.co Coliseum,PST,New York Yankees,Oakland Athletics 
380,9158643,New York Yankees at Texas Rangers ,2015-07-31 00:05:00,Globe Life Park,CST,New York Yankees,Texas Rangers 
381,9158641,New York Yankees at Texas Rangers ,2015-07-29 00:05:00,Globe Life Park,CST,New York Yankees,Texas Rangers 
382,9178726,Houston Astros at New York Yankees ,2015-08-26 17:05:00,Yankee Stadium,EST,Houston Astros,New York Yankees 
383,9160969,New York Yankees at Tampa Bay Rays ,2015-09-14 23:10:00,Tropicana Field,EST,New York Yankees,Tampa Bay Rays 
384,9160968,New York Yankees at Tampa Bay Rays ,2015-05-14 23:10:00,Tropicana Field,EST,New York Yankees,Tampa Bay Rays 
385,9160964,New York Yankees at Tampa Bay Rays ,2015-05-11 23:10:00,Tropicana Field,EST,New York Yankees,Tampa Bay Rays 
386,9160967,New York Yankees at Tampa Bay Rays ,2015-05-13 23:10:00,Tropicana Field,EST,New York Yankees,Tampa Bay Rays 
387,9160966,New York Yankees at Tampa Bay Rays ,2015-05-12 23:10:00,Tropicana Field,EST,New York Yankees,Tampa Bay Rays 
388,9160970,New York Yankees at Tampa Bay Rays ,2015-09-15 23:10:00,Tropicana Field,EST,New York Yankees,Tampa Bay Rays 
389,9160971,New York Yankees at Tampa Bay Rays ,2015-09-16 23:10:00,Tropicana Field,EST,New York Yankees,Tampa Bay Rays 
390,9168863,New York Yankees at Atlanta Braves ,2015-08-28 23:35:00,Turner Field,EST,New York Yankees,Atlanta Braves 
391,9160963,New York Yankees at Tampa Bay Rays ,2015-04-19 17:10:00,Tropicana Field,EST,New York Yankees,Tampa Bay Rays 
392,9150625,New York Yankees at Los Angeles Angels ,2015-06-30 02:05:00,Angel Stadium,PST,New York Yankees,Los Angeles Angels 
393,9159434,New York Yankees at New York Mets ,2015-09-18 23:10:00,Citi Field,EST,New York Yankees,New York Mets 
396,9159436,New York Yankees at New York Mets ,2015-09-19 17:05:00,Citi Field,EST,New York Yankees,New York Mets 
397,9160961,New York Yankees at Tampa Bay Rays ,2015-04-18 23:10:00,Tropicana Field,EST,New York Yankees,Tampa Bay Rays 
